end,mbid,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,pitch_confidence_mean,pitch_maximum,pitch_mean,pitch_minimum,pitch_stddev,start
325238,a025eef0-d130-496f-9581-f5ce40bd1783,-923.6333618164062,105.06502532958984,-15.199569702148438,-13.208328247070312,-2.179279327392578,9.696189880371094,9.54465103149414,-2.4371604919433594,14.686391830444336,22.225311279296875,3.9322776794433594,-5.860210418701172,-15.528675079345703,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,316418
332956,a025eef0-d130-496f-9581-f5ce40bd1783,-847.456787109375,143.61026000976562,-13.657892227172852,-13.186874389648438,-6.889183044433594,-12.536632537841797,10.278926849365234,-7.405521392822266,-4.746479034423828,2.7171249389648438,-15.280620574951172,-11.291664123535156,-15.897254943847656,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,324136
340674,a025eef0-d130-496f-9581-f5ce40bd1783,-773.9429931640625,145.12356567382812,-6.646297454833984,-3.5692367553710938,-2.4958858489990234,-39.98596954345703,15.908336639404297,-16.449848175048828,-21.05746841430664,-9.597269058227539,-31.043594360351562,-14.017229080200195,-5.001258850097656,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,331854
348392,a025eef0-d130-496f-9581-f5ce40bd1783,-761.81103515625,187.10516357421875,-14.332624435424805,-2.8228378295898438,-6.894359588623047,-15.269317626953125,25.322315216064453,-8.748172760009766,-20.875621795654297,4.22894287109375,-28.224849700927734,-14.301273345947266,-16.35814666748047,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,339572
361620,a025eef0-d130-496f-9581-f5ce40bd1783,-745.1160888671875,176.58758544921875,-15.189725875854492,-10.51287841796875,-4.378702163696289,-27.204029083251953,35.7282600402832,-7.770565032958984,-10.321842193603516,5.388671875,-25.360374450683594,-15.068458557128906,-9.096546173095703,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,352800
369338,a025eef0-d130-496f-9581-f5ce40bd1783,-717.0693359375,174.46632385253906,-11.978828430175781,-11.20419692993164,-13.045722961425781,-21.56128692626953,37.42276382446289,-17.28006362915039,-9.440235137939453,2.478870391845703,-27.131057739257812,-15.202390670776367,-11.945430755615234,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,360518
377056,a025eef0-d130-496f-9581-f5ce40bd1783,-706.8426513671875,162.49122619628906,-6.489086151123047,-12.653736114501953,-11.420372009277344,-27.803722381591797,28.260921478271484,-14.142742156982422,-8.064472198486328,2.6548233032226562,-31.890995025634766,-19.785661697387695,-5.738746643066406,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,368236
384774,a025eef0-d130-496f-9581-f5ce40bd1783,-749.8451538085938,169.41094970703125,-11.353517532348633,-13.608863830566406,-3.6921730041503906,-18.207916259765625,38.49140167236328,-5.194744110107422,-10.491600036621094,0.9758148193359375,-28.580791473388672,-15.269304275512695,-5.5791168212890625,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,375954
392492,a025eef0-d130-496f-9581-f5ce40bd1783,-754.1275634765625,159.02117919921875,-10.32071304321289,-10.554496765136719,0.2574615478515625,-22.864704132080078,49.36821365356445,-1.8983116149902344,-14.41030502319336,-1.0633163452148438,-19.509117126464844,-8.589910507202148,-8.05971908569336,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,383672
405720,a025eef0-d130-496f-9581-f5ce40bd1783,-743.3434448242188,164.79745483398438,-10.769693374633789,-17.313491821289062,-6.993537902832031,-28.03217315673828,50.758384704589844,-7.22076416015625,-5.862628936767578,-1.6343498229980469,-26.57910919189453,-5.732097625732422,-3.6548843383789062,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,396900
